chapterID,characterID,event,details,withID
88,1552,mentionned,,
88,1562,mentionned,,
88,1586,mentionned,,
88,1716,mentionned,,
88,1727,mentionned,,
88,1757,mentionned,,
89,240,mentionned,,
89,295,mentionned,,
89,382,mentionned,,
89,420,mentionned,,
89,736,mentionned,,
89,852,mentionned,,
89,1013,mentionned,,
89,1371,mentionned,,
89,1393,mentionned,,
89,1451,mentionned,,
89,1486,mentionned,,
89,1727,mentionned,,
89,1857,mentionned,,
89,1860,mentionned,,
90,256,mentionned,,
90,295,mentionned,,
90,431,mentionned,,
90,483,mentionned,,
90,629,mentionned,,
90,836,mentionned,,
90,1195,mentionned,,
90,1303,mentionned,,
90,1326,mentionned,,
90,1432,mentionned,,
90,1676,mentionned,,
90,1716,mentionned,,
90,1727,mentionned,,
90,1757,mentionned,,
91,234,mentionned,,
91,429,mentionned,,
91,629,mentionned,,
91,1528,mentionned,,
91,1530,mentionned,,
92,136,mentionned,,
92,586,mentionned,,
92,629,mentionned,,
92,747,mentionned,,
92,968,mentionned,,
92,1361,mentionned,,
92,1873,mentionned,,
93,27,mentionned,,
93,256,mentionned,,
93,295,mentionned,,
93,311,mentionned,,
93,431,mentionned,,
93,776,mentionned,,
93,1195,mentionned,,
93,1326,mentionned,,
93,1396,mentionned,,
93,1431,mentionned,,
93,1584,mentionned,,
93,1716,mentionned,,
94,130,mentionned,,
94,240,mentionned,,
94,456,mentionned,,
94,832,mentionned,,
94,1013,mentionned,,
94,1108,mentionned,,
95,163,mentionned,,
95,255,mentionned,,
95,287,mentionned,,
95,295,mentionned,,
95,456,mentionned,,
95,970,mentionned,,
95,1035,mentionned,,
95,1396,mentionned,,
95,1431,mentionned,,
95,1434,mentionned,,
95,1586,mentionned,,
96,194,mentionned,,
96,334,mentionned,,
96,456,mentionned,,
96,603,mentionned,,
96,808,mentionned,,
96,851,mentionned,,
96,1057,mentionned,,
96,1431,mentionned,,
96,1527,mentionned,,
96,1808,mentionned,,
97,25,mentionned,,
97,138,mentionned,,
97,154,mentionned,,
97,1431,mentionned,,
97,1648,mentionned,,
97,1763,mentionned,,
98,27,mentionned,,
98,136,mentionned,,
98,287,mentionned,,
98,295,mentionned,,
98,311,mentionned,,
98,319,mentionned,,
98,456,mentionned,,
98,755,mentionned,,
98,772,mentionned,,
98,785,mentionned,,
98,836,mentionned,,
98,1035,mentionned,,
98,1066,mentionned,,
98,1195,mentionned,,
98,1303,mentionned,,
98,1326,mentionned,,
98,1396,mentionned,,
98,1404,mentionned,,
98,1431,mentionned,,
98,1432,mentionned,,
98,1434,mentionned,,
98,1553,mentionned,,
98,1586,mentionned,,
98,1660,mentionned,,
98,1716,mentionned,,
98,1727,mentionned,,
98,1757,mentionned,,
99,136,mentionned,,
99,204,mentionned,,
99,629,mentionned,,
99,747,mentionned,,
99,1312,mentionned,,
99,1656,mentionned,,
99,1812,mentionned,,
100,27,mentionned,,
100,352,mentionned,,
100,831,mentionned,,
100,862,mentionned,,
100,1338,mentionned,,
100,1434,mentionned,,
