message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length
t717	37	to	mention				1339720481		t1061	
t1425	37	to	mention				1339807924		t1081	
t961	37	to	mention				1339808055		t1082	
t1421	37	to	mention				1341537922		t1312	
t297	37	to	mention				1341619871		t1353	
t299	37	to	mention				1342917277		t1479	
t478	37	from	mention				1342920435		t1479	
t1422	37	to	mention				1347410711		t1689	
t295	37	to	mention				1347584418		t1704	
t396	37	from	mention				1347584602		t1704	
t390	37	from	mention				1350259776		t1832	
t979	37	to	mention				1350521024		t1874	
t296	37	from	mention				1350609172		t1930	
t1641	37	from	mention				1351038839		t2003	
t1228	37	from	mention				1351040388		t2004	
t1022	37	to	mention				1351819593		t2021	
t881	37	from	mention				1352854416		t2096	
t749	37	to	mention				1352854461		t2096	
t750	37	from	mention				1352854525		t2096	
t43	37	from	mention				1352854507		t2096	
t751	37	from	mention				1352854623		t2096	
t42	37	from	mention				1352854698		t2096	
t878	37	from	mention				1352854792		t2096	
t900	37	from	mention				1352854709		t2097	
t700	37	from	mention				1352854766		t2097	
t698	37	to	mention				1352854979		t2097	
t411	37	from	mention				1352855081		t2097	
t743	37	from	mention				1352855163		t2097	
t745	37	to	mention				1352855208		t2097	
t900	37	from	mention				1352854709		t2098	
t933	37	to	dm				1338857257		dm37	
t1417	41	to	mention				1326329313		t58	
t1418	41	to	mention				1331946667		t398	
t1609	41	to	mention				1333758097		t546	
t1248	41	to	mention				1333759353		t550	
t1252	41	to	mention				1334365353		t593	
t311	41	to	mention				1338336495		t940	
t1463	41	from	mention				1347668913		t1708	
t1419	42	to	mention				1331683319		t373	
t1420	42	to	mention				1339378229		t1036	
t1679	42	from	mention				1351905419		t2026	
t285	42	to	mention				1351902164		t2026	
t1158	42	to	mention				1353027004		t2110	
t1193	42	from	dm				1351903563		dm42	
t890	43	to	mention				1334366163		t595	
t803	43	to	mention				1334448562		t597	
t804	43	to	mention				1338514165		t963	
t806	43	to	mention				1338514203		t964	
t805	43	to	mention				1338514188		t965	
t1333	43	to	mention				1346031419		t1610	
t975	43	from	mention				1346031517		t1611	
t1395	43	to	mention				1356744183		t2379	
t1654	44	to	mention				1326849663		t100	
t1220	44	to	mention				1326935283		t103	
t1488	44	to	mention				1327711173		t131	
